date,white_1,white_2,white_3,white_4,white_5,powerball
"Saturday, 5/4/24",14,20,23,53,69,4
"Wednesday, 5/1/24",1,11,19,21,68,15
"Monday, 4/29/24",11,38,47,67,69,14
"Saturday, 4/27/24",9,30,53,55,62,23
"Wednesday, 4/24/24",2,20,22,26,47,21
"Monday, 4/22/24",12,16,33,39,52,1
"Saturday, 4/20/24",4,35,41,44,58,25
"Wednesday, 4/17/24",24,29,44,47,54,2
"Monday, 4/15/24",7,16,41,56,61,23
"Saturday, 4/13/24",7,33,40,43,69,10
"Wednesday, 4/10/24",6,7,12,24,36,15
"Monday, 4/8/24",6,21,23,39,54,23
"Saturday, 4/6/24",22,27,44,52,69,9
"Wednesday, 4/3/24",11,38,41,62,65,15
"Monday, 4/1/24",19,24,40,42,56,23
